credit,101000000,3.79,1,1015.98,"3,852.47",37200000
adverse credit remortgage,1300,0.00,0,0,0.00,590
refinance with bad credit,33100,2.60,1,7.48,19.46,27100
egg credit,14800,0.00,0,0,0.00,1300
refinance with poor credit,5400,0.00,0,0,0.00,4400
refinancing with poor credit,4400,6.54,1,7.89,51.59,3600
egg credit card,14800,0.00,0,0,0.00,590
refinancing with bad credit,27100,7.84,1,11.82,92.70,22200
home equity line of credit rates,12100,6.77,1,7.11,48.16,9900
refinance poor credit,5400,1.01,1,6.05,6.08,4400
line of credit home equity,135000,3.78,1,47.02,177.83,110000
home line of credit,301000,7.91,1,15.32,121.13,201000
home equity poor credit,2900,0.00,0,0,0.00,2400
credit equity home line,135000,0.00,0,0,0.00,110000
equity line of credit,135000,2.35,1,51.43,120.83,110000
credit home line,301000,0.00,0,0,0.00,201000
bad credit mortgage refinance,6600,3.39,1,44.35,150.36,4400
