home equity loan,201000,3.59,1,135.56,487.20,165000
home equity loans,165000,3.44,1,77.02,264.91,135000
home equity loan rates,27100,3.70,1,100.67,372.35,22200
equity loan rates,27100,2.52,1,3.53,8.92,27100
equity loan,246000,1.73,1,29.29,50.59,165000
home equity line of credit rates,12100,7.78,1,3.8,29.59,9900
equity loans,201000,4.38,1,45.25,198.20,165000
line of credit home equity,135000,0.00,0,0,0.00,110000
home equity rates,49500,1.74,1,22.69,39.57,40500
equity home,450000,2.16,1,9.32,20.12,301000
home equity poor credit,2900,3.49,1,3.9,13.61,2400
credit equity home line,135000,0.71,1,4.59,3.26,110000
equity line of credit,135000,9.18,1,38.05,349.28,110000
equity rates,74000,0.00,0,0,0.00,49500
