ink 8560,3600,0.00,0,0,0.00,2400
cheap ink cartridges brother,590,5.36,1,8.52,45.65,260
cheap ink for brother printer,390,0.00,0,0,0.00,170
ink for cartridges,1220000,0.00,0,0,0.00,550000
ink cartridges for,1220000,1.07,1,5.2,5.57,550000
ink cartridges,1220000,7.95,1,402.26,"3,196.36",550000
cartridge and ink,1220000,0.00,0,0,0.00,550000
ink for cartridge,1220000,0.00,0,0,0.00,550000
ink & cartridge,1220000,0.00,0,0,0.00,550000
ink for print,1220000,0.00,0,0,0.00,550000
a wrinkle in,1000000,0.00,0,0,0.00,550000
ink cartridges toner cartridges,1000000,0.00,0,0,0.00,450000
printer ink for,823000,0.00,0,0,0.00,368000
printer with ink,823000,0.00,0,0,0.00,368000
printer and ink,823000,0.00,0,0,0.00,368000
