insurance,68000000,6.51,1,9028.54,"58,798.38",30400000
insurance medical temporary,1900,0.00,0,0,0.00,1600
fortis health insurance temporary,210,0.00,0,0,0.00,140
life insurance quotes,201000,26.63,1,245.75,"6,543.50",110000
auto insurance quotes,201000,16.76,1,2938.29,"49,256.22",165000
auto century insurance,9900,50.57,1,6.78,343.00,9900
critical illness insurance life,6600,0.00,0,0,0.00,1000
cheap insurance life term,9900,81.96,1,15.64,"1,281.61",6600
cheap life insurance,33100,23.96,1,166.28,"3,984.03",22200
health insurance temporary,12100,6.40,1,4.8,30.75,9900
21st century insurance,110000,24.00,1.02,283.87,"6,813.80",110000
cheap insurance medical,14800,6.56,1,52.48,344.03,8100
low cost term life insurance,1900,85.54,1,4.82,412.46,1300
life insurance quote,201000,14.12,1,376.03,"5,309.82",110000
life insurance quote online,22200,17.27,1,31.85,550.03,12100
direct home insurance line,27100,0.00,0,0,0.00,210
term insurance,673000,9.73,1,980.63,"9,545.49",368000
auto insurances,5400,40.88,1,10.56,431.91,2400
