lawyer,13600000,1.44,1,1874.08,"2,706.59",9140000
accident car florida lawyer,3600,0.00,0,0,0.00,2400
criminal defense federal lawyer,2400,0.00,0,0,0.00,1900
miami personal injury lawyer,6600,15.04,1,4.18,62.86,5400
san diego dui lawyer,6600,0.00,0,0,0.00,5400
celebrex lawyer,1300,0.00,0,0,0.00,320
new york personal injury lawyer,22200,1.68,1,13.43,22.61,14800
accident lawyer michigan,3600,25.91,1,3.91,101.40,2400
criminal lawyer new york,9900,6.03,1,8.35,50.33,8100
chicago personal injury lawyer,9900,15.27,1,8.67,132.41,8100
los angeles dui lawyer,9900,7.59,1,8.94,67.82,8100
angeles criminal defense lawyer los,8100,0.00,0,0,0.00,6600
irs lawyer tax,3600,0.52,1,3.79,1.99,2900
criminal dallas lawyer,8100,0.00,0,0,0.00,6600
injury lawyer new york,27100,0.00,0,0,0.00,22200
angeles criminal lawyer los,22200,0.00,0,0,0.00,18100
dui florida lawyer,8100,0.00,0,0,0.00,5400
