law lemon wisconsin,1600,0.00,0,0,0.00,1600
ca lemon law,8100,0.00,0,0,0.00,8100
law lemon ohio,2900,0.40,1,5.82,2.31,2900
illinois law lemon,2400,0.00,0,0,0.00,2400
california law lemon,12100,0.00,0,0,0.00,9900
lemon law,165000,9.09,1,146.37,"1,330.95",135000
indiana law lemon,1600,2.46,1,5.45,13.38,1600
law lemon michigan,2400,0.00,0,0,0.00,2400
attorney law lemon,6600,9.48,1,5.34,50.61,5400
georgia law lemon,2900,0.00,0,0,0.00,2400
automobile law lemon,6600,0.00,0,0,0.00,5400
law lemon mass,1900,0.00,0,0,0.00,1600
arizona law lemon,1900,0.00,0,0,0.00,1600
carolina law lemon north,2400,0.00,0,0,0.00,2400
